"Time","Frequency (Hz)","Level (dBµV/m)","Level_1 (dBµV/m)","Level_2 (dBµV/m)","Level_3 (dBµV/m)","Value Count","File Info"
"10/12/2021  11:20:00.000","   104400000","  34.4","   2.9","  27.3","  43.5","76",
"10/12/2021  11:20:00.000","   104425000","  33.7","   2.8","  26.7","  42.1","76",
"10/12/2021  11:20:00.000","   104450000","  31.5","   2.5","  24.6","  38.2","76",
"10/12/2021  11:20:00.000","   104475000","  28.2","   2.3","  21.7","  32.7","76",
"10/12/2021  11:20:00.000","   104500000","  24.7","   2.2","  18.8","  28.7","76",
"10/12/2021  11:20:00.000","   104525000","  22.3","   2.0","  16.8","  26.3","76",
"10/12/2021  11:20:00.000","   104550000","  21.5","   2.0","  16.0","  25.5","76",
"10/12/2021  11:20:00.000","   104575000","  22.0","   2.1","  16.1","  25.9","76",
"10/12/2021  11:20:00.000","   104600000","  23.2","   2.1","  16.9","  27.6","76",
"10/12/2021  11:20:00.000","   104625000","  24.7","   2.3","  17.7","  29.3","76",
"10/12/2021  11:20:00.000","   104650000","  26.0","   2.6","  18.4","  33.0","76",
"10/12/2021  11:20:00.000","   104675000","  26.9","   2.9","  18.9","  35.5","76",
"10/12/2021  11:20:00.000","   104700000","  27.2","   3.0","  19.0","  36.2","76",
"10/12/2021  11:20:00.000","   104725000","  26.9","   2.8","  18.9","  35.1","76",
"10/12/2021  11:20:00.000","   104750000","  26.0","   2.5","  18.4","  32.3","76",
"10/12/2021  11:20:00.000","   104775000","  24.9","   2.3","  17.6","  29.2","76",
"10/12/2021  11:20:00.000","   104800000","  24.1","   2.2","  17.0","  28.1","76",
"10/12/2021  11:20:00.000","   104825000","  24.0","   2.3","  16.7","  27.8","76",
"10/12/2021  11:20:00.000","   104850000","  24.4","   2.3","  16.8","  28.2","76",
"10/12/2021  11:20:00.000","   104875000","  25.0","   2.5","  17.2","  30.3","76",
"10/12/2021  11:20:00.000","   104900000","  25.5","   2.5","  17.6","  31.6","76",
"10/12/2021  11:20:00.000","   104925000","  25.8","   2.5","  18.0","  31.8","76",
"10/12/2021  11:20:00.000","   104950000","  25.9","   2.5","  18.2","  32.2","76",
"10/12/2021  11:20:00.000","   104975000","  26.0","   2.6","  18.4","  33.3","76",
"10/12/2021  11:20:00.000","   105000000","  26.0","   2.5","  18.4","  33.0","76",
"10/12/2021  11:20:00.000","   105025000","  25.9","   2.2","  18.7","  31.4","76",
"10/12/2021  11:20:00.000","   105050000","  26.3","   1.9","  20.6","  30.4","76",
"10/12/2021  11:20:00.000","   105075000","  28.6","   2.1","  23.2","  33.3","76",
"10/12/2021  12:00:00.000","   105100000","  33.1","   1.4","  29.0","  36.4","75",
"10/12/2021  12:00:00.000","   105125000","  37.5","   1.0","  34.4","  40.1","75",
"10/12/2021  12:00:00.000","   105150000","  41.3","   0.8","  39.3","  42.9","75",
"10/12/2021  12:20:00.000","   105175000","  45.2","   1.1","  41.8","  47.3","76",
"10/12/2021  12:40:00.000","   105200000","  46.6","   1.2","  43.7","  48.8","54",
"10/12/2021  12:20:00.000","   105225000","  45.0","   1.2","  41.3","  47.1","76",
"10/12/2021  12:20:00.000","   105250000","  40.7","   1.1","  37.3","  42.7","76",
"10/12/2021  12:00:00.000","   105275000","  36.1","   1.0","  33.4","  38.5","75",
"10/12/2021  12:00:00.000","   105300000","  30.7","   1.5","  27.4","  34.6","75",
"10/12/2021  11:20:00.000","   105325000","  26.5","   1.9","  21.9","  30.8","76",
